-1.000000000000000000e+00,-4.147098480789646047e-02
-4.210526315789473450e-01,5.070681004552243243e-01
1.578947368421053099e-01,1.188818429230171336e+00
7.368421052631579649e-01,1.819320968484153145e+00
1.315789473684210620e+00,2.230819461736988973e+00
1.894736842105263275e+00,2.326935865669838233e+00
2.473684210526315930e+00,2.114082064409458450e+00
3.052631578947368141e+00,1.699370096118436591e+00
3.631578947368421240e+00,1.255701994796215804e+00
4.210526315789474339e+00,9.654172321223561948e-01
4.789473684210526550e+00,9.608642917497248748e-01
5.368421052631578760e+00,1.281265401028651940e+00
5.947368421052631859e+00,1.859933148436644368e+00
6.526315789473684958e+00,2.546005370954867786e+00
7.105263157894736281e+00,3.153614435762073676e+00
7.684210526315789380e+00,3.522465570898133613e+00
8.263157894736842479e+00,3.570080440716323356e+00
8.842105263157895578e+00,3.318678641136405538e+00
9.421052631578948677e+00,2.887935846889492009e+00
1.000000000000000000e+01,2.455978889110630448e+00
